Year,State,Fires (Wildland),Acres (Wildland),Fires (Rx),Acres (Rx),Fires (WFU),Acres (WFU),Fires (Human),Acres (Human),Fires (Lightning),Acres (Lightning),Fires (Total),Acres (Total)
2009,Hawaii,1,"7,800",0,0,,,,,,,,
2009,Idaho,"1,142","22,681",397,"33,895",,,,,,,,
2009,Illinois,115,"1,155",250,"14,833",,,,,,,,
2009,Indiana,"2,083","4,706",289,"13,134",,,,,,,,
2009,Iowa,718,"8,565",621,"33,339",,,,,,,,
2009,Kansas,100,"40,278",90,"16,844",,,,,,,,
2009,Kentucky,"1,432","43,741",37,"18,758",,,,,,,,
2009,Louisiana,"1,578","29,272",12,"9,849",,,,,,,,
2009,Maine,482,481,38,212,,,,,,,,
2009,Maryland,414,"4,956",76,"1,353",,,,,,,,
2009,Massachusetts,"1,121","1,144",21,213,,,,,,,,
2009,Michigan,508,"3,899",128,"14,150",,,,,,,,
2009,Minnesota,"1,371","13,858",741,"158,160",,,,,,,,
2009,Mississippi,"2,366","31,280",25,"8,800",,,,,,,,
2009,Missouri,"2,957","42,241",602,"95,268",,,,,,,,
2009,Montana,"1,731","48,912",377,"38,433",,,,,,,,
2009,Nebraska,44,"1,164",74,"11,397",,,,,,,,
2009,Nevada,688,"33,366",16,"3,108",,,,,,,,
2009,New Hampshire,289,159,31,182,,,,,,,,
2009,New Jersey,775,"1,131",4,71,,,,,,,,
2009,New Mexico,"1,278","421,481",76,"99,132",,,,,,,,
2009,New York,158,"1,404",23,410,,,,,,,,
2009,North Carolina,"3,344","25,142",641,"156,225",,,,,,,,
2009,North Dakota,302,"3,404",110,"24,714",,,,,,,,
2009,Ohio,"1,164","10,962",15,"4,487",,,,,,,,
2009,Oklahoma,"1,773","153,948",14,"5,383",,,,,,,,
2009,Oregon,"1,488","100,668",750,"130,654",,,,,,,,
2009,Pennsylvania,630,"6,132",10,409,,,,,,,,
2009,Rhode Island,49,45,1,0,,,,,,,,
2009,South Carolina,"1,526","7,663",703,"113,004",,,,,,,,
2009,South Dakota,823,"10,056",174,"40,145",,,,,,,,
2009,Tennessee,"1,448","18,704",18,"25,967",,,,,,,,
2009,Texas,"16,614","753,261",151,"172,826",,,,,,,,
2009,Utah,"1,136","112,753",147,"28,173",,,,,,,,
2009,Vermont,84,192,18,355,,,,,,,,
